Gene,Perturbed_excitatory_count,Unperturbed_excitatory_count,Perturbed_inhibtory_count,Unperturbed_inhibtory_count,excitatory_LogFC,inhibtory_LogFC,Total_cells
Nfatc4,936,919,1160,1176,0.026443668294370042,-0.01976325482142995,2153
Setdb2,919,919,1176,1176,0.0,0.0,2153
Gata4,918,919,1177,1176,-0.0015707078752265138,0.001226260202079849,2153
Sox7,919,919,1176,1176,0.0,0.0,2153
Hmbox1,891,919,1205,1176,-0.04463942976711246,0.03514508628095949,2153
Ebf2,920,919,1175,1176,0.001568999655340681,-0.00122730338400237,2153
Nkx2-6,919,919,1176,1176,0.0,0.0,2153
Nkx3-1,919,919,1176,1176,0.0,0.0,2153
Egr3,919,919,1176,1176,0.0,0.0,2153
Tsc22d1,997,919,1106,1176,0.11752864310916147,-0.08853667460165737,2153
Elf1,898,919,1197,1176,-0.0333494165478876,0.025535092107137478,2153
Dach1,855,919,1232,1176,-0.10414044151577422,0.06711419585853703,2153
Klf5,929,919,1166,1176,0.015613735093618356,-0.012320271635867894,2153
Klf12,918,919,1181,1176,-0.0015707078752265138,0.006120904560792738,2153
Pou4f1,919,919,1176,1176,0.0,0.0,2153
Sox21,956,919,1138,1176,0.056945756691714,-0.04738750252978244,2153
Dzip1,925,919,1169,1176,0.009388504114640078,-0.008613130304708033,2153
Mbnl2,941,919,1162,1176,0.0341298614395021,-0.01727799143183547,2153
Zic5,922,919,1178,1176,0.004701889140303366,0.002451478994096389,2153
Zic2,913,919,1182,1176,-0.009450001304812432,0.007341975341167981,2153
Osr2,919,919,1176,1176,0.0,0.0,2153
Grhl2,918,919,1177,1176,-0.0015707078752265138,0.001226260202079849,2153
Klf10,920,919,1171,1176,0.001568999655340681,-0.006146984335149348,2153
Zfpm2,913,919,1186,1176,-0.009450001304812432,0.012215949709639348,2153
Trps1,897,919,1194,1176,-0.034956876369773286,0.021914776428440728,2153
Zhx2,913,919,1191,1176,-0.009450001304812432,0.018285353027749553,2153
Zhx1,852,919,1228,1176,-0.10921143106319622,0.0624225005338149,2153
Myc,917,919,1178,1176,-0.0031431276939800435,0.002451478994096389,2153
Zfat,918,919,1177,1176,-0.0015707078752265138,0.001226260202079849,2153
Jrk,919,919,1176,1176,0.0,0.0,2153
Zfp41,906,919,1189,1176,-0.020553811242799425,0.015860654909291314,2153
Mafa,919,919,1176,1176,0.0,0.0,2153
Tigd5,919,919,1176,1176,0.0,0.0,2153
Scx,918,919,1177,1176,-0.0015707078752265138,0.001226260202079849,2153
Hsf1,937,919,1158,1176,0.027984186370152316,-0.02225280684712774,2153
Scrt1,920,919,1175,1176,0.001568999655340681,-0.00122730338400237,2153
Foxh1,919,919,1176,1176,0.0,0.0,2153
Sox10,914,919,1181,1176,-0.00787069623096478,0.006120904560792738,2153
Maff,920,919,1175,1176,0.001568999655340681,-0.00122730338400237,2153
Atf4,927,919,1162,1176,0.01250447733649627,-0.01727799143183547,2153
Tef,922,919,1173,1176,0.004701889140303366,-0.0036850468078558985,2153
Srebf2,922,919,1171,1176,0.004701889140303366,-0.006146984335149348,2153
Tcf20,902,919,1193,1176,-0.02693742803365358,0.020705982858863693,2153
Ppara,913,919,1182,1176,-0.009450001304812432,0.007341975341167981,2153
Zbed4,923,919,1170,1176,0.006265786356739574,-0.007379530365597452,2153
Dbx2,919,919,1176,1176,0.0,0.0,2153
Arid2,866,919,1232,1176,-0.08569783656230959,0.06711419585853703,2153
Vdr,919,919,1176,1176,0.0,0.0,2153
Atf1,913,919,1189,1176,-0.009450001304812432,0.015860654909291314,2153
Csrnp2,918,919,1176,1176,-0.0015707078752265138,0.0,2153
Tfcp2,910,919,1183,1176,-0.014198316202975882,0.008562013503424,2153
Pou6f1,923,919,1170,1176,0.006265786356739574,-0.007379530365597452,2153
Nr4a1,919,919,1176,1176,0.0,0.0,2153
Rarg,920,919,1175,1176,0.001568999655340681,-0.00122730338400237,2153
Sp7,919,919,1176,1176,0.0,0.0,2153
Sp1,938,919,1165,1176,0.029523061226341987,-0.013558105294721786,2153
Atf7,915,919,1180,1176,-0.006293118117629713,0.004898799412839056,2153
Hoxc13,919,919,1176,1176,0.0,0.0,2153
Hoxc12,919,919,1176,1176,0.0,0.0,2153
Hoxc11,919,919,1176,1176,0.0,0.0,2153
Hoxc10,919,919,1176,1176,0.0,0.0,2153
Hoxc5,919,919,1176,1176,0.0,0.0,2153
Hoxc9,919,919,1176,1176,0.0,0.0,2153
Hoxc8,919,919,1176,1176,0.0,0.0,2153
Hoxc6,919,919,1176,1176,0.0,0.0,2153
Hoxc4,919,919,1176,1176,0.0,0.0,2153
Nfe2,919,919,1176,1176,0.0,0.0,2153
Tfap4,893,919,1198,1176,-0.041404686167811657,0.026739847952421215,2153
Glis2,924,919,1170,1176,0.00782799012702318,-0.007379530365597452,2153
Glyr1,917,919,1181,1176,-0.0031431276939800435,0.006120904560792738,2153
Snai2,919,919,1175,1176,0.0,-0.00122730338400237,2153
Cebpd,919,919,1176,1176,0.0,0.0,2153
Hic2,902,919,1193,1176,-0.02693742803365358,0.020705982858863693,2153
Thap7,919,919,1176,1176,0.0,0.0,2153
Gsc2,919,919,1176,1176,0.0,0.0,2153
Tbx1,919,919,1176,1176,0.0,0.0,2153
Etv5,919,919,1174,1176,0.0,-0.0024556517263121347,2153
Bcl6,919,919,1176,1176,0.0,0.0,2153
Hes1,865,919,1233,1176,-0.08736472876494748,0.0682847395664748,2153
Nr1i2,920,919,1176,1176,0.001568999655340681,0.0,2153
Zbtb20,884,919,1208,1176,-0.05601849189760294,0.03873239448871455,2153
Usf3,905,919,1188,1176,-0.02214706931846677,0.014646775964401263,2153
Bbx,863,919,1225,1176,-0.09070430211007954,0.058893689053568614,2153
Zbtb11,914,919,1181,1176,-0.00787069623096478,0.006120904560792738,2153
Cggbp1,933,919,1158,1176,0.02181221956272435,-0.02225280684712774,2153
Pou1f1,919,919,1176,1176,0.0,0.0,2153
Gabpa,913,919,1179,1176,-0.009450001304812432,0.0036756581433983696,2153
Bach1,912,919,1181,1176,-0.011031037124292894,0.006120904560792738,2153
Olig2,923,919,1170,1176,0.006265786356739574,-0.007379530365597452,2153
Olig1,917,919,1178,1176,-0.0031431276939800435,0.002451478994096389,2153
Son,855,919,1246,1176,-0.10414044151577422,0.08341600818763747,2153
Runx1,919,919,1176,1176,0.0,0.0,2153
Sim2,919,919,1176,1176,0.0,0.0,2153
Erg,919,919,1176,1176,0.0,0.0,2153
Ets2,918,919,1177,1176,-0.0015707078752265138,0.001226260202079849,2153
Prdm15,937,919,1158,1176,0.027984186370152316,-0.02225280684712774,2153
Zbtb21,920,919,1175,1176,0.001568999655340681,-0.00122730338400237,2153
T,919,919,1176,1176,0.0,0.0,2153
Tbp,859,919,1236,1176,-0.09740673015057102,0.07179068306801009,2153
Prdm9,919,919,1176,1176,0.0,0.0,2153
Zscan10,919,919,1176,1176,0.0,0.0,2153
Flywch1,911,919,1183,1176,-0.0126138074869838,0.008562013503424,2153
E4f1,923,919,1169,1176,0.006265786356739574,-0.008613130304708033,2153
Sox8,919,919,1182,1176,0.0,0.007341975341167981,2153
Nkx2-5,919,919,1176,1176,0.0,0.0,2153
Phf1,919,919,1176,1176,0.0,0.0,2153
Zbtb9,921,919,1173,1176,0.0031362948023009943,-0.0036850468078558985,2153
Hmga1,922,919,1174,1176,0.004701889140303366,-0.0024556517263121347,2153
Spdef,926,919,1169,1176,0.01094733197120195,-0.008613130304708033,2153
Ppard,919,919,1176,1176,0.0,0.0,2153
Tead3,917,919,1178,1176,-0.0031431276939800435,0.002451478994096389,2153
Pknox1,971,919,1125,1176,0.07940643413015779,-0.06396305873196502,2153
Akap8,925,919,1169,1176,0.009388504114640078,-0.008613130304708033,2153
Akap8l,986,919,1109,1176,0.10152278508887715,-0.0846286946746545,2153
Wiz,921,919,1172,1176,0.0031362948023009943,-0.004915490414116527,2153
Zbtb22,919,919,1176,1176,0.0,0.0,2153
Rxrb,930,919,1164,1176,0.01716585470635916,-0.014797001928080552,2153
