Gene,Perturbed_Notochord_count,Unperturbed_Notochord_count,Perturbed_Prechordal_count,Unperturbed_Prechordal_count,Notochord_LogFC,Prechordal_LogFC,Total_cells
KMT2CB,593,634,148,107,-0.09645073559340366,0.46798637922780284,741
L3MBTL1A,634,634,107,107,0.0,0.0,741
L3MBTL1B,631,634,110,107,-0.006842835156858206,0.0398927271235125,741
L3MBTL2,635,634,106,107,0.0022737515201209325,-0.01354653183794777,741
L3MBTL3,634,634,107,107,0.0,0.0,741
L3MBTL4,634,634,107,107,0.0,0.0,741
LBX1A,634,634,107,107,0.0,0.0,741
LBX1B,634,634,107,107,0.0,0.0,741
LBX2,634,634,107,107,0.0,0.0,741
LCORL,643,634,98,107,0.02033589718853994,-0.12675714228593873,741
LEF1,634,634,107,107,0.0,0.0,741
LHX1A,294,634,447,107,-1.108666685303043,2.0626640347821708,741
LHX1B,617,634,124,107,-0.03921235098998945,0.21272932398572814,741
LHX2A,634,634,107,107,0.0,0.0,741
LHX2B,634,634,107,107,0.0,0.0,741
LHX3,634,634,107,107,0.0,0.0,741
LHX4,634,634,107,107,0.0,0.0,741
LHX5,634,634,107,107,0.0,0.0,741
LHX6,634,634,107,107,0.0,0.0,741
LHX8A,632,634,109,107,-0.004558281962304301,0.02671733837577941,741
LHX8B,634,634,107,107,0.0,0.0,741
LHX9,634,634,107,107,0.0,0.0,741
LIN28A,596,634,145,107,-0.08917050967724562,0.43844210361378755,741
LIN28B,634,634,107,107,0.0,0.0,741
LIN54,632,634,109,107,-0.004558281962304301,0.02671733837577941,741
LMX1A,633,634,108,107,-0.0022773407110659246,0.01342051576232144,741
LMX1AL,634,634,107,107,0.0,0.0,741
LMX1BA,634,634,107,107,0.0,0.0,741
LMX1BB,634,634,107,107,0.0,0.0,741
MAFA,634,634,107,107,0.0,0.0,741
MAFB,634,634,107,107,0.0,0.0,741
MAFBA,634,634,107,107,0.0,0.0,741
MAFBB,635,634,106,107,0.0022737515201209325,-0.01354653183794777,741
MAFF,614,634,127,107,-0.0462441847692279,0.24721770037101895,741
MAFGA,634,634,107,107,0.0,0.0,741
MAFGB,634,634,107,107,0.0,0.0,741
MAFK,634,634,107,107,0.0,0.0,741
