index,fate_excluding_DCs,fate_excluding_Ery_1,fate_excluding_HSC_1,fate_excluding_Mono_1,fate_excluding_Precursors,fate_excluding_HSC_2,fate_excluding_Mono_2,fate_excluding_Ery_2
Run4_126681646815132,DCs,DCs,DCs,DCs,Mono_1,DCs,Mono_1,DCs
Run4_126681647049453,Ery_2,Mono_2,Ery_2,Mega,Mega,Ery_1,Ery_2,Ery_1
Run4_126706324032926,DCs,DCs,DCs,DCs,Ery_1,DCs,Mono_2,Mono_1
Run4_126706324223852,DCs,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_126706324232987,DCs,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_126706324233525,Mono_1,Mono_1,Mono_1,DCs,Mono_1,Mono_1,Mono_1,Mono_1
Run4_126706343636326,Mono_2,DCs,DCs,DCs,DCs,DCs,Mono_2,DCs
Run4_126707773105894,Ery_2,Ery_1,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2
Run4_126707788531571,Ery_2,Ery_1,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2
Run4_126707800401843,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_1
Run4_126707800665315,DCs,Mono_1,DCs,DCs,Mono_2,DCs,Mono_1,DCs
Run4_126707819506413,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_1
Run4_126765621266222,Mega,DCs,DCs,Mega,Mega,Mega,Ery_1,Mega
Run4_126765621271260,Mono_2,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_126765648702707,Mono_1,Mono_1,Mono_1,DCs,Mono_1,Mono_1,Mono_1,Mono_1
Run4_126765667137964,DCs,DCs,DCs,DCs,Mono_2,DCs,DCs,DCs
Run4_126776224102750,Ery_2,Ery_1,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_1
Run4_126776224472427,Mono_1,Mono_1,Mono_1,DCs,Mono_1,Mono_1,Mono_1,Mono_1
Run4_126776224631582,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2
Run4_126776224967005,DCs,DCs,DCs,DCs,Mono_1,DCs,DCs,Mega
Run4_126776238855982,Mega,Mega,Mega,Mega,Mega,Mega,Mega,Mega
Run4_126776251899293,Ery_2,Mega,Mega,Mono_2,Mega,DCs,Mega,Mega
Run4_126776251931483,Mono_2,Mono_1,Mono_2,Mono_2,Mono_1,Mono_1,Mono_1,Mono_1
Run4_126776270318502,Ery_2,DCs,Ery_2,Ery_2,Ery_2,Ery_2,Ery_1,Ery_1
Run4_126776271099742,Mono_2,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_126834220845997,Mono_1,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_126834220883372,Ery_2,DCs,Ery_2,DCs,HSC_2,Mega,DCs,DCs
Run4_126834233760486,Mono_1,Mono_1,Mono_1,DCs,Mono_1,Mono_1,Mono_1,Mono_1
Run4_126834234285342,DCs,DCs,DCs,DCs,Ery_2,DCs,Mega,DCs
Run4_126834252307822,Ery_2,DCs,DCs,DCs,Mega,Ery_1,Mega,DCs
Run4_126834252630899,Mega,Mega,Mega,Mega,Mega,Mega,Mega,Mega
Run4_126834252633822,DCs,Mono_1,DCs,DCs,Mono_1,DCs,Mono_1,Mono_1
Run4_126835160693155,Ery_2,Ery_1,Ery_1,Ery_2,Ery_2,Ery_2,Ery_2,Ery_1
Run4_126835160956259,DCs,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_126835173481885,Mono_2,Mono_1,DCs,DCs,Mono_1,Mono_1,Mono_2,Mono_1
Run4_126835173775662,Mono_1,Mono_1,DCs,DCs,Mono_1,Mono_1,Mono_1,Mono_1
Run4_126835192150451,DCs,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_126836622191451,Mono_1,DCs,Ery_1,Mega,Mega,Mega,Mega,Mono_1
Run4_126836636804846,Ery_1,Ery_1,DCs,Mega,Mono_1,Precursors,Mono_1,Mega
Run4_126836649679270,Mono_2,Mono_1,DCs,DCs,Mono_2,DCs,DCs,DCs
Run4_126836650134317,Ery_2,Ery_1,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_1
Run4_126836669073710,Ery_1,Mega,Ery_2,Mega,Mega,Mega,Mega,Ery_1
Run4_126836669073780,Mono_2,DCs,DCs,DCs,Mono_1,DCs,DCs,DCs
Run4_126885745777500,Mono_2,DCs,DCs,DCs,Mono_1,Mono_2,Mono_1,Mono_1
Run4_126885745838956,Mono_2,Mono_2,Mono_1,DCs,Mono_2,Mono_1,Mono_2,Mono_1
Run4_126885760485302,DCs,DCs,DCs,Ery_2,Mono_2,DCs,Ery_2,Ery_1
Run4_126885760784172,DCs,DCs,DCs,DCs,Mono_2,DCs,Mono_2,DCs
Run4_126885773306787,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_1
Run4_126885773822901,Ery_1,Mega,Ery_2,Ery_2,Mega,Mega,Mega,Ery_1
Run4_126885773859179,DCs,DCs,DCs,DCs,Mega,Ery_1,Ery_2,DCs
Run4_126885792795486,HSC_2,DCs,Ery_2,DCs,Mega,Precursors,Ery_2,Ery_1
Run4_126886685359012,Mono_1,Mono_1,Mono_1,DCs,Mono_1,Mono_1,Mono_1,Mono_1
Run4_126886685359349,Mono_1,Mono_1,Mono_1,Ery_2,Mono_1,Mono_1,Mono_1,Mono_1
Run4_126886685556019,Mono_1,Mono_1,Mono_1,DCs,Mono_1,Mono_1,Mono_1,Mono_1
Run4_126886685825781,Mono_1,Mono_1,Mono_1,DCs,Mono_1,Mono_1,Mono_1,Mono_1
Run4_126886700599133,DCs,Mono_1,DCs,DCs,DCs,DCs,DCs,DCs
Run4_126886700825827,Mono_2,DCs,DCs,DCs,DCs,DCs,Mono_2,DCs
Run4_126886713125724,Mono_1,Mono_1,Mono_1,HSC_2,Mono_1,Mono_1,Mono_1,Mono_1
Run4_126886713386862,DCs,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_129457491688822,DCs,Mono_1,Mono_2,DCs,Mono_2,Mono_2,DCs,DCs
Run4_129457491929955,Mono_1,Mono_1,Mono_1,DCs,Mono_1,Mono_1,Mono_1,Mono_1
Run4_129457506867427,Ery_2,Ery_1,Mega,Ery_2,Ery_2,Ery_2,Ery_2,Ery_1
Run4_129457519708470,DCs,DCs,DCs,DCs,DCs,DCs,Mono_2,DCs
Run4_129457538058668,Mono_1,Mono_1,Mono_1,DCs,Mono_1,Mono_1,Mono_1,Mono_1
Run4_129457538329326,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2,Ery_2
Run4_129457538349940,Ery_2,Mega,Ery_2,Mega,Mega,Ery_2,Ery_2,Ery_1
Run4_129497354684213,Mono_2,Mega,Mono_1,DCs,Mono_1,Ery_1,Mega,DCs
Run4_129497381947316,DCs,Mega,Ery_2,DCs,Mega,Mega,DCs,DCs
Run4_129497382115619,DCs,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_129497382151987,Ery_1,DCs,DCs,DCs,Mono_1,DCs,Mono_1,DCs
Run4_129497401249067,DCs,DCs,DCs,DCs,Mega,DCs,DCs,DCs
Run4_129565671210277,Mono_2,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_129565671745261,Mono_1,Mono_1,Mono_1,Mono_2,Mono_1,Mono_1,Mono_1,Mono_1
Run4_129565671779052,DCs,DCs,DCs,DCs,DCs,DCs,Mono_1,DCs
Run4_129565698677470,DCs,DCs,DCs,DCs,DCs,DCs,DCs,DCs
Run4_129565699234094,Mono_2,DCs,DCs,DCs,DCs,DCs,DCs,DCs
